Fruit Category,Fruit Name,Fruit Weight,Fruit Width,Fruit Length,Fruit Colour Score
1,Apple,139.42307692307693,8.4,7.3,0.55
1,Apple,178.0,8.0,6.8,0.59
1,Apple,139.42307692307693,7.4,7.2,0.6
1,Apple,178.0,7.1,7.8,0.92
1,Apple,139.42307692307693,7.4,7.0,0.89
1,Apple,178.0,6.9,7.3,0.93
1,Apple,139.42307692307693,7.1,7.6,0.92
1,Apple,154.0,7.0,7.1,0.88
1,Apple,139.42307692307693,7.3,7.7,0.7
1,Apple,157.0,7.6,7.3,0.69
1,Apple,156.0,7.7,7.1,0.69
1,Apple,156.0,7.6,7.5,0.67
1,Apple,168.0,7.5,7.6,0.73
1,Apple,155.0,7.5,7.1,0.83
1,Apple,139.42307692307693,7.4,7.2,0.85
1,Apple,160.0,7.5,7.5,0.86
1,Apple,156.0,7.4,7.4,0.84
1,Apple,140.0,7.3,7.1,0.87
1,Apple,170.0,7.6,7.9,0.88
2,Orange,139.42307692307693,6.2,4.7,0.8
2,Orange,84.0,6.0,4.6,0.79
2,Orange,80.0,5.8,4.3,0.77
2,Orange,80.0,5.9,4.3,0.81
2,Orange,76.0,5.8,4.0,0.81
2,Orange,342.0,9.0,9.4,0.75
2,Orange,356.0,9.2,9.2,0.75
2,Orange,362.0,9.6,9.2,0.74
2,Orange,204.0,7.5,9.2,0.77
2,Orange,140.0,6.7,7.1,0.72
2,Orange,160.0,7.0,7.4,0.81
2,Orange,158.0,7.1,7.5,0.79
2,Orange,210.0,7.8,8.0,0.82
2,Orange,164.0,7.2,7.0,0.8
2,Orange,190.0,7.5,8.1,0.74
2,Orange,142.0,7.6,7.8,0.75
2,Orange,150.0,7.1,7.9,0.75
2,Orange,160.0,7.1,7.6,0.76
2,Orange,154.0,7.3,7.3,0.79
2,Orange,158.0,7.2,7.8,0.77
2,Orange,144.0,6.8,7.4,0.75
2,Orange,154.0,7.1,7.5,0.78
2,Orange,180.0,7.6,8.2,0.79
2,Orange,154.0,7.2,7.2,0.82
3,Lemon,97.0,7.2,10.3,0.7
3,Lemon,70.0,7.3,10.5,0.72
3,Lemon,93.0,7.2,9.2,0.72
3,Lemon,80.0,7.3,10.2,0.71
3,Lemon,98.0,7.3,9.7,0.72
3,Lemon,87.0,7.3,10.1,0.72
3,Lemon,66.0,5.8,8.7,0.73
3,Lemon,65.0,6.0,8.2,0.71
3,Lemon,58.0,6.0,7.5,0.72
3,Lemon,59.0,5.9,8.0,0.72
3,Lemon,60.0,6.0,8.4,0.74
3,Lemon,58.0,6.1,8.5,0.71
3,Lemon,58.0,6.3,7.7,0.72
3,Lemon,58.0,5.9,8.1,0.73
3,Lemon,76.0,6.5,8.5,0.72
3,Lemon,59.0,6.1,8.1,0.7
